Model,Predition,%Error,,,
A. Lange & Söhne 140.029,Next 90D,14.83274569,,,
A. Lange & Söhne 140.029,Next 90D,14.87463504,,,
A. Lange & Söhne 140.029,Next 90D,14.89419575,,,
A. Lange & Söhne 140.029,Next 90D,15.0086368,,,
A. Lange & Söhne 140.029,Next 90D,15.00078377,,,
A. Lange & Söhne 140.029,Next 90D,15.03732312,,,
A. Lange & Söhne 140.029,Next 90D,15.05911287,,,
A. Lange & Söhne 140.029,Next 90D,15.06137851,,,
A. Lange & Söhne 140.029,Next 90D,15.04954448,,,
A. Lange & Söhne 140.029,Next 90D,15.02918067,,,
A. Lange & Söhne 140.029,Next 90D,15.0040485,,,
A. Lange & Söhne 140.029,Next 90D,14.97632409,,,
A. Lange & Söhne 140.029,Next 90D,14.9983292,,,
A. Lange & Söhne 140.029,Next 90D,15.0101633,,,
A. Lange & Söhne 140.029,Next 90D,14.95311564,,,
A. Lange & Söhne 140.029,Next 90D,14.93629003,,,
A. Lange & Söhne 140.029,Next 90D,15.31887111,,,
A. Lange & Söhne 140.029,Next 90D,15.29144007,,,
A. Lange & Söhne 140.029,Next 90D,15.26228033,,,
A. Lange & Söhne 140.029,Next 90D,15.28236479,,,
A. Lange & Söhne 140.029,Next 90D,15.29175426,,,
A. Lange & Söhne 140.029,Next 90D,15.40665692,,,
A. Lange & Söhne 140.029,Next 90D,15.38831903,,,
A. Lange & Söhne 140.029,Next 90D,15.36349313,,,
A. Lange & Söhne 140.029,Next 90D,15.33551266,,,
