Date,Price,Open,High,Low,Change %
25-May-20,"2,418.36","2,418.36","2,418.36","2,418.36",0.79%
22-May-20,"2,399.32","2,399.32","2,399.32","2,399.32",-1.08%
21-May-20,"2,425.43","2,425.43","2,425.43","2,425.43",-0.24%
20-May-20,"2,431.36","2,431.36","2,431.36","2,431.36",1.24%
19-May-20,"2,401.68","2,401.68","2,401.68","2,401.68",0.34%
18-May-20,"2,393.57","2,393.57","2,393.57","2,393.57",5.06%
15-May-20,"2,278.21","2,278.21","2,278.21","2,278.21",0.38%
14-May-20,"2,269.57","2,269.57","2,269.57","2,269.57",-0.43%
13-May-20,"2,279.32","2,279.32","2,279.32","2,279.32",-3.34%
12-May-20,"2,357.98","2,357.98","2,357.98","2,357.98",-0.83%
11-May-20,"2,377.61","2,377.61","2,377.61","2,377.61",-1.25%
08-May-20,"2,407.74","2,407.74","2,407.74","2,407.74",3.05%
07-May-20,"2,336.55","2,336.55","2,336.55","2,336.55",1.06%
06-May-20,"2,312.15","2,312.15","2,312.15","2,312.15",-0.62%
05-May-20,"2,326.59","2,326.59","2,326.59","2,326.59",0.35%
04-May-20,"2,318.44","2,318.44","2,318.44","2,318.44",-1.02%
01-May-20,"2,342.23","2,342.23","2,342.23","2,342.23",-2.43%
30-Apr-20,"2,400.51","2,400.51","2,400.51","2,400.51",-1.75%
29-Apr-20,"2,443.20","2,443.20","2,443.20","2,443.20",3.07%
28-Apr-20,"2,370.50","2,370.50","2,370.50","2,370.50",0.66%
27-Apr-20,"2,355.04","2,355.04","2,355.04","2,355.04",4.31%
24-Apr-20,"2,257.73","2,257.73","2,257.73","2,257.73",-0.89%
23-Apr-20,"2,277.98","2,277.98","2,277.98","2,277.98",0.50%
22-Apr-20,"2,266.71","2,266.71","2,266.71","2,266.71",0.91%
21-Apr-20,"2,246.23","2,246.23","2,246.23","2,246.23",-4.03%
20-Apr-20,"2,340.49","2,340.49","2,340.49","2,340.49",-1.25%
17-Apr-20,"2,370.02","2,370.02","2,370.02","2,370.02",4.24%
16-Apr-20,"2,273.54","2,273.54","2,273.54","2,273.54",0.18%
15-Apr-20,"2,269.48","2,269.48","2,269.48","2,269.48",-2.03%
14-Apr-20,"2,316.40","2,316.40","2,316.40","2,316.40",3.00%
13-Apr-20,"2,248.86","2,248.86","2,248.86","2,248.86",0.21%
10-Apr-20,"2,244.23","2,244.23","2,244.23","2,244.23",0.00%
09-Apr-20,"2,244.26","2,244.26","2,244.26","2,244.26",2.69%
08-Apr-20,"2,185.44","2,185.44","2,185.44","2,185.44",1.41%
07-Apr-20,"2,155.14","2,155.14","2,155.14","2,155.14",3.43%
06-Apr-20,"2,083.65","2,083.65","2,083.65","2,083.65",6.39%
03-Apr-20,"1,958.51","1,958.51","1,958.51","1,958.51",-0.96%
02-Apr-20,"1,977.53","1,977.53","1,977.53","1,977.53",-1.40%
01-Apr-20,"2,005.64","2,005.64","2,005.64","2,005.64",-5.42%
31-Mar-20,"2,120.59","2,120.59","2,120.59","2,120.59",-0.48%
30-Mar-20,"2,130.78","2,130.78","2,130.78","2,130.78",-0.29%
27-Mar-20,"2,137.05","2,137.05","2,137.05","2,137.05",-4.18%
26-Mar-20,"2,230.29","2,230.29","2,230.29","2,230.29",2.42%
25-Mar-20,"2,177.59","2,177.59","2,177.59","2,177.59",5.52%
24-Mar-20,"2,063.69","2,063.69","2,063.69","2,063.69",11.24%
23-Mar-20,"1,855.12","1,855.12","1,855.12","1,855.12",-2.23%
20-Mar-20,"1,897.52","1,897.52","1,897.52","1,897.52",3.07%
19-Mar-20,"1,840.95","1,840.95","1,840.95","1,840.95",3.39%
18-Mar-20,"1,780.63","1,780.63","1,780.63","1,780.63",-6.67%
17-Mar-20,"1,907.97","1,907.97","1,907.97","1,907.97",-0.30%
16-Mar-20,"1,913.77","1,913.77","1,913.77","1,913.77",-9.62%
13-Mar-20,"2,117.46","2,117.46","2,117.46","2,117.46",2.52%
12-Mar-20,"2,065.48","2,065.48","2,065.48","2,065.48",-11.64%
11-Mar-20,"2,337.64","2,337.64","2,337.64","2,337.64",-3.78%
10-Mar-20,"2,429.53","2,429.53","2,429.53","2,429.53",1.58%
09-Mar-20,"2,391.83","2,391.83","2,391.83","2,391.83",-7.50%
06-Mar-20,"2,585.73","2,585.73","2,585.73","2,585.73",-1.64%
05-Mar-20,"2,628.87","2,628.87","2,628.87","2,628.87",-2.72%
04-Mar-20,"2,702.46","2,702.46","2,702.46","2,702.46",1.32%
03-Mar-20,"2,667.37","2,667.37","2,667.37","2,667.37",-0.41%
02-Mar-20,"2,678.44","2,678.44","2,678.44","2,678.44",2.31%
28-Feb-20,"2,618.00","2,618.00","2,618.00","2,618.00",-0.81%
27-Feb-20,"2,639.49","2,639.49","2,639.49","2,639.49",-3.75%
26-Feb-20,"2,742.28","2,742.28","2,742.28","2,742.28",-1.19%
25-Feb-20,"2,775.25","2,775.25","2,775.25","2,775.25",-2.52%
24-Feb-20,"2,846.89","2,846.89","2,846.89","2,846.89",-4.85%
21-Feb-20,"2,991.92","2,991.92","2,991.92","2,991.92",-1.20%
20-Feb-20,"3,028.16","3,028.16","3,028.16","3,028.16",-1.17%
19-Feb-20,"3,063.93","3,063.93","3,063.93","3,063.93",1.61%
18-Feb-20,"3,015.41","3,015.41","3,015.41","3,015.41",-0.09%
17-Feb-20,"3,018.11","3,018.11","3,018.11","3,018.11",0.10%
14-Feb-20,"3,015.02","3,015.02","3,015.02","3,015.02",-0.72%
13-Feb-20,"3,036.87","3,036.87","3,036.87","3,036.87",-0.09%
12-Feb-20,"3,039.73","3,039.73","3,039.73","3,039.73",2.03%
11-Feb-20,"2,979.26","2,979.26","2,979.26","2,979.26",0.47%
10-Feb-20,"2,965.18","2,965.18","2,965.18","2,965.18",0.11%
07-Feb-20,"2,961.85","2,961.85","2,961.85","2,961.85",-1.35%
06-Feb-20,"3,002.38","3,002.38","3,002.38","3,002.38",0.57%
05-Feb-20,"2,985.29","2,985.29","2,985.29","2,985.29",-1.36%
04-Feb-20,"3,026.55","3,026.55","3,026.55","3,026.55",3.04%
03-Feb-20,"2,937.20","2,937.20","2,937.20","2,937.20",2.08%
31-Jan-20,"2,877.23","2,877.23","2,877.23","2,877.23",-0.82%
30-Jan-20,"2,900.90","2,900.90","2,900.90","2,900.90",-0.09%
29-Jan-20,"2,903.56","2,903.56","2,903.56","2,903.56",-0.16%
28-Jan-20,"2,908.17","2,908.17","2,908.17","2,908.17",0.82%
27-Jan-20,"2,884.60","2,884.60","2,884.60","2,884.60",-3.04%
24-Jan-20,"2,975.10","2,975.10","2,975.10","2,975.10",-0.72%
23-Jan-20,"2,996.77","2,996.77","2,996.77","2,996.77",-1.34%
22-Jan-20,"3,037.55","3,037.55","3,037.55","3,037.55",-0.03%
21-Jan-20,"3,038.46","3,038.46","3,038.46","3,038.46",-0.95%
20-Jan-20,"3,067.67","3,067.67","3,067.67","3,067.67",-0.97%
17-Jan-20,"3,097.80","3,097.80","3,097.80","3,097.80",0.72%
16-Jan-20,"3,075.76","3,075.76","3,075.76","3,075.76",0.23%
15-Jan-20,"3,068.61","3,068.61","3,068.61","3,068.61",0.03%
14-Jan-20,"3,067.72","3,067.72","3,067.72","3,067.72",0.73%
13-Jan-20,"3,045.42","3,045.42","3,045.42","3,045.42",1.19%
10-Jan-20,"3,009.72","3,009.72","3,009.72","3,009.72",-0.13%
09-Jan-20,"3,013.75","3,013.75","3,013.75","3,013.75",0.24%
08-Jan-20,"3,006.65","3,006.65","3,006.65","3,006.65",0.54%
07-Jan-20,"2,990.50","2,990.50","2,990.50","2,990.50",0.41%
06-Jan-20,"2,978.32","2,978.32","2,978.32","2,978.32",-0.33%
03-Jan-20,"2,988.14","2,988.14","2,988.14","2,988.14",-0.45%
02-Jan-20,"3,001.50","3,001.50","3,001.50","3,001.50",0.92%
31-Dec-19,"2,974.14","2,974.14","2,974.14","2,974.14",0.09%
30-Dec-19,"2,971.42","2,971.42","2,971.42","2,971.42",-0.59%
27-Dec-19,"2,989.06","2,989.06","2,989.06","2,989.06",0.45%
26-Dec-19,"2,975.81","2,975.81","2,975.81","2,975.81",0.37%
25-Dec-19,"2,964.93","2,964.93","2,964.93","2,964.93",-0.03%
24-Dec-19,"2,965.77","2,965.77","2,965.77","2,965.77",0.19%
23-Dec-19,"2,960.19","2,960.19","2,960.19","2,960.19",0.59%
20-Dec-19,"2,942.88","2,942.88","2,942.88","2,942.88",0.62%
19-Dec-19,"2,924.83","2,924.83","2,924.83","2,924.83",-0.05%
18-Dec-19,"2,926.15","2,926.15","2,926.15","2,926.15",0.26%
17-Dec-19,"2,918.47","2,918.47","2,918.47","2,918.47",-0.12%
16-Dec-19,"2,922.11","2,922.11","2,922.11","2,922.11",1.04%
13-Dec-19,"2,892.06","2,892.06","2,892.06","2,892.06",0.87%
12-Dec-19,"2,867.24","2,867.24","2,867.24","2,867.24",0.97%
11-Dec-19,"2,839.79","2,839.79","2,839.79","2,839.79",0.51%
10-Dec-19,"2,825.43","2,825.43","2,825.43","2,825.43",0.02%
09-Dec-19,"2,824.86","2,824.86","2,824.86","2,824.86",-0.20%
06-Dec-19,"2,830.50","2,830.50","2,830.50","2,830.50",0.92%
05-Dec-19,"2,804.66","2,804.66","2,804.66","2,804.66",0.35%
04-Dec-19,"2,794.80","2,794.80","2,794.80","2,794.80",0.55%
03-Dec-19,"2,779.47","2,779.47","2,779.47","2,779.47",-0.94%
02-Dec-19,"2,805.82","2,805.82","2,805.82","2,805.82",-0.90%
29-Nov-19,"2,831.27","2,831.27","2,831.27","2,831.27",-0.56%
28-Nov-19,"2,847.28","2,847.28","2,847.28","2,847.28",-0.12%
27-Nov-19,"2,850.57","2,850.57","2,850.57","2,850.57",0.54%
26-Nov-19,"2,835.40","2,835.40","2,835.40","2,835.40",0.20%
25-Nov-19,"2,829.67","2,829.67","2,829.67","2,829.67",1.25%
22-Nov-19,"2,794.70","2,794.70","2,794.70","2,794.70",0.14%
21-Nov-19,"2,790.90","2,790.90","2,790.90","2,790.90",-0.38%
20-Nov-19,"2,801.60","2,801.60","2,801.60","2,801.60",-0.71%
19-Nov-19,"2,821.65","2,821.65","2,821.65","2,821.65",0.12%
18-Nov-19,"2,818.29","2,818.29","2,818.29","2,818.29",0.01%
15-Nov-19,"2,818.10","2,818.10","2,818.10","2,818.10",0.93%
14-Nov-19,"2,792.16","2,792.16","2,792.16","2,792.16",0.07%
13-Nov-19,"2,790.31","2,790.31","2,790.31","2,790.31",-0.15%
12-Nov-19,"2,794.49","2,794.49","2,794.49","2,794.49",0.10%
11-Nov-19,"2,791.66","2,791.66","2,791.66","2,791.66",-0.19%
08-Nov-19,"2,797.11","2,797.11","2,797.11","2,797.11",-0.82%
07-Nov-19,"2,820.37","2,820.37","2,820.37","2,820.37",0.77%
06-Nov-19,"2,798.88","2,798.88","2,798.88","2,798.88",-0.01%
05-Nov-19,"2,799.09","2,799.09","2,799.09","2,799.09",-0.13%
04-Nov-19,"2,802.84","2,802.84","2,802.84","2,802.84",1.08%
01-Nov-19,"2,772.98","2,772.98","2,772.98","2,772.98",0.67%
31-Oct-19,"2,754.58","2,754.58","2,754.58","2,754.58",-0.15%
30-Oct-19,"2,758.62","2,758.62","2,758.62","2,758.62",0.44%
29-Oct-19,"2,746.48","2,746.48","2,746.48","2,746.48",-0.18%
28-Oct-19,"2,751.31","2,751.31","2,751.31","2,751.31",0.61%
25-Oct-19,"2,734.66","2,734.66","2,734.66","2,734.66",1.83%
24-Oct-19,"2,685.44","2,685.44","2,685.44","2,685.44",1.34%
23-Oct-19,"2,650.00","2,650.00","2,650.00","2,650.00",0.04%
22-Oct-19,"2,648.96","2,648.96","2,648.96","2,648.96",0.21%
21-Oct-19,"2,643.33","2,643.33","2,643.33","2,643.33",0.38%
18-Oct-19,"2,633.41","2,633.41","2,633.41","2,633.41",-0.68%
17-Oct-19,"2,651.38","2,651.38","2,651.38","2,651.38",0.19%
